"herdID","cowID","date_pCALV","date_AI"
1,1633,"0000-00-00","2000-05-09"
1,1619,"2000-03-03","2000-05-12"
1,1629,"0000-00-00","2000-05-17"
1,1633,"0000-00-00","2000-06-30"
1,1629,"0000-00-00","2000-07-15"
1,1633,"0000-00-00","2000-07-22"
1,1611,"2000-06-19","2000-08-26"
1,1629,"0000-00-00","2000-08-31"
1,1633,"0000-00-00","2000-09-01"
1,1619,"2000-03-03","2000-09-27"
1,1617,"2000-08-25","2000-10-12"
1,1621,"2000-08-29","2000-10-14"
1,1622,"2000-08-27","2000-10-18"
1,1620,"2000-08-10","2000-10-28"
1,1417,"0000-00-00","2000-10-31"
1,1621,"2000-08-29","2000-11-04"
1,1628,"2000-09-29","2000-11-22"
1,1624,"2000-10-17","2001-01-13"
1,1078,"0000-00-00","2001-01-14"
1,1627,"2000-10-03","2001-01-16"
1,1624,"2000-10-17","2001-02-21"
1,1621,"2000-08-29","2001-03-05"
1,1078,"0000-00-00","2001-03-10"
1,1632,"2001-01-04","2001-03-29"
1,1630,"2001-02-21","2001-04-11"
1,1624,"2000-10-17","2001-04-25"
1,1419,"0000-00-00","2001-04-28"
1,1621,"2000-08-29","2001-04-28"
1,1618,"2001-03-20","2001-05-09"
1,1632,"2001-01-04","2001-05-12"
1,1632,"2001-01-04","2001-06-02"
1,1623,"2001-03-22","2001-06-05"
1,1625,"2001-03-21","2001-06-08"
1,1420,"0000-00-00","2001-06-22"
1,1618,"2001-03-20","2001-06-23"
1,1632,"2001-01-04","2001-06-23"
1,1419,"0000-00-00","2001-07-06"
1,537,"0000-00-00","2001-07-29"
1,1633,"0000-00-00","2001-07-31"
1,1420,"0000-00-00","2001-08-03"
1,1631,"2001-05-24","2001-08-03"
1,1629,"0000-00-00","2001-08-14"
1,1425,"0000-00-00","2001-08-16"
1,1424,"0000-00-00","2001-08-17"
1,1426,"0000-00-00","2001-09-04"
1,1619,"2000-03-03","2001-09-06"
1,1414,"2001-05-01","2001-09-07"
1,1427,"0000-00-00","2001-09-07"
1,1617,"2000-08-25","2001-09-07"
1,1611,"2000-06-19","2001-09-14"
1,1620,"2000-08-10","2001-09-25"
