"cowID","date_birth","breed"
1,"2000-09-19","56"
2,"2000-04-03","56"
3,"1999-01-11","66"
4,"1999-01-24","56"
5,"1999-03-05","66"
6,"1999-08-29","66"
7,"1999-09-25","66"
8,"1999-10-13","56"
9,"1999-10-19","56"
10,"1999-10-25","66"
11,"1999-11-03","56"
12,"1999-11-04","66"
13,"1999-11-25","56"
14,"1999-12-16","56"
15,"1999-12-23","56"
16,"1999-12-25","66"
17,"1999-12-28","39"
18,"1999-12-29","39"
19,"2000-01-02","66"
20,"2000-01-26","56"
21,"2000-01-29","56"
22,"2000-01-31","39"
23,"2000-08-14","66"
24,"2000-08-14","56"
25,"2000-08-22","66"
26,"2000-09-07","39"
27,"2000-10-12","56"
28,"2000-10-28","66"
29,"2000-11-03","66"
30,"2000-11-25","66"
31,"2000-12-12","56"
32,"2000-12-17","56"
33,"2000-12-21","66"
34,"2001-08-22","66"
35,"2001-08-30","56"
36,"2001-09-05","66"
37,"2001-11-14","66"
38,"2001-11-22","66"
39,"2001-11-25","66"
40,"2001-12-09","66"
41,"2002-01-16","66"
42,"2002-08-31","66"
43,"2002-09-02","66"
44,"2002-09-04","56"
45,"2002-09-04","66"
46,"2002-09-12","60"
47,"2002-09-12","56"
48,"2002-09-13","66"
49,"2002-09-16","56"
50,"2002-09-17","56"
51,"2002-09-17","56"
52,"2002-09-18","56"
53,"2002-09-23","56"
54,"2002-10-03","56"
55,"2002-10-05","66"
56,"2002-10-07","50"
57,"2002-11-10","66"
58,"2002-12-06","66"
59,"2002-12-06","56"
60,"2002-12-19","66"
61,"2003-09-06","56"
62,"2003-09-11","66"
63,"2003-09-16","66"
64,"2003-09-18","66"
65,"2003-09-18","56"
66,"2003-09-18","66"
67,"2003-09-22","66"
68,"2003-09-28","56"
69,"2003-09-30","66"
70,"2003-10-04","66"
71,"2003-10-31","66"
72,"2003-11-02","66"
73,"2003-11-04","60"
74,"2003-12-09","60"
75,"2003-12-23","56"
76,"2003-12-24","56"
77,"2003-12-25","66"
78,"2004-01-01","39"
79,"2004-01-05","56"
80,"2004-02-26","56"
81,"2004-10-02","56"
82,"2004-11-20","56"
83,"2004-11-30","39"
84,"2004-12-04","39"
85,"2004-12-06","56"
86,"2004-12-21","56"
87,"2004-12-25","56"
88,"2005-01-20","39"
89,"2005-01-21","39"
90,"2005-06-04","56"
91,"2005-07-27","39"
92,"2005-11-23","66"
93,"1993-11-07","66"
94,"1994-09-22","66"
95,"1995-10-21","56"
96,"1995-11-16","66"
97,"1996-09-10","56"
98,"1996-10-06","66"
99,"1996-11-01","66"
100,"1996-11-19","66"
101,"1996-11-23","66"
102,"1997-09-30","66"
103,"1997-10-02","56"
104,"1997-10-06","66"
105,"1997-10-10","66"
106,"1997-10-12","66"
107,"1997-10-15","56"
108,"1997-10-16","56"
109,"1997-11-27","66"
110,"1998-08-27","56"
111,"1998-09-01","56"
112,"1998-09-10","66"
113,"1998-09-11","56"
114,"1998-09-21","66"
115,"1998-09-28","56"
116,"1998-10-06","66"
117,"1998-10-06","56"
118,"1998-11-02","66"
119,"1998-11-02","39"
120,"1998-11-02","66"
121,"1998-11-12","66"
122,"1998-09-06","84"
123,"1998-09-12","46"
124,"1998-09-27","46"
125,"1998-10-03","46"
126,"1998-11-19","46"
127,"1998-12-01","84"
128,"1998-12-31","46"
129,"1999-01-24","46"
130,"1999-04-10","46"
131,"1996-07-15","46"
132,"1996-09-11","46"
133,"1996-09-02","46"
134,"1996-09-09","46"
135,"1997-01-30","46"
136,"1997-03-08","46"
137,"1997-01-17","46"
138,"1997-08-27","46"
139,"1997-05-21","46"
140,"1997-08-29","46"
141,"1997-08-29","46"
142,"1997-08-31","46"
143,"1997-10-03","46"
144,"1997-10-21","46"
145,"1997-11-24","46"
146,"1997-10-01","46"
147,"1998-03-03","46"
148,"1998-09-14","46"
149,"1998-08-25","46"
150,"1998-09-14","46"
151,"1998-10-16","46"
152,"1998-11-29","46"
153,"1999-08-15","46"
154,"1999-08-24","46"
155,"1999-09-09","46"
156,"2000-01-18","46"
157,"2000-07-23","46"
158,"2000-08-06","46"
159,"2000-12-03","46"
160,"2000-12-23","46"
161,"2001-05-06","46"
162,"2001-05-20","46"
163,"2001-05-26","46"
164,"2001-06-16","46"
165,"2001-06-27","46"
166,"2001-06-30","46"
167,"2001-07-25","46"
168,"2001-08-03","46"
169,"2001-08-05","46"
170,"2001-08-05","46"
171,"2001-08-21","84"
172,"2001-08-27","46"
173,"2001-11-07","46"
174,"2001-11-14","46"
175,"2002-04-20","46"
176,"2002-04-22","46"
177,"2002-04-27","46"
178,"2002-06-08","46"
179,"2002-06-08","46"
180,"2002-06-10","46"
181,"2002-07-04","46"
182,"2002-07-08","46"
183,"2002-07-11","46"
184,"2002-07-19","46"
185,"2002-08-16","46"
186,"2002-08-28","46"
187,"2002-08-28","46"
188,"2003-04-30","46"
189,"2003-05-02","46"
190,"2003-05-05","46"
191,"2003-05-07","46"
192,"2003-05-23","46"
193,"2003-06-05","46"
194,"2003-06-11","46"
195,"2003-07-05","46"
196,"2003-07-11","46"
197,"2003-07-12","46"
198,"2003-07-28","46"
199,"2003-08-03","46"
200,"2003-08-08","46"
201,"2003-09-03","46"
202,"2003-09-08","46"
203,"2003-09-15","46"
204,"2003-09-15","46"
205,"2004-04-16","46"
206,"2004-04-19","46"
207,"2004-05-27","46"
208,"2004-05-29","46"
209,"2004-06-14","46"
210,"2004-06-18","46"
211,"2004-07-07","46"
212,"2004-07-13","46"
213,"2004-08-09","46"
214,"2004-08-14","46"
215,"2004-08-28","46"
216,"2004-08-30","46"
217,"2004-09-13","46"
218,"2004-09-14","46"
219,"2004-09-29","46"
220,"2005-04-17","46"
221,"2005-04-17","46"
222,"2005-04-21","46"
223,"2005-04-28","46"
224,"2005-05-01","46"
225,"2005-05-24","46"
226,"2005-05-28","46"
227,"2005-06-20","46"
228,"2005-07-08","46"
229,"2005-09-04","46"
230,"2005-10-17","46"
231,"2006-05-07","46"
232,"2006-05-15","46"
233,"2006-05-15","46"
234,"2006-05-18","46"
235,"2006-05-25","46"
236,"2006-06-15","46"
237,"2006-06-26","46"
238,"2006-07-31","46"
239,"2006-08-05","46"
240,"2006-09-12","46"
241,"2007-04-14","46"
242,"2007-04-19","46"
243,"2007-05-05","46"
244,"2007-05-07","46"
245,"2007-05-17","39"
246,"2007-05-20","46"
247,"2007-05-21","39"
248,"2007-05-30","46"
249,"2007-06-13","39"
250,"2007-06-25","46"
251,"2007-06-30","46"
252,"2007-07-03","39"
253,"2007-08-22","46"
254,"2007-09-04","46"
255,"2007-09-04","46"
256,"2007-09-15","46"
257,"2007-09-17","46"
258,"2007-10-06","46"
259,"2007-10-06","46"
260,"2008-04-14","46"
261,"2008-04-19","46"
262,"2008-04-26","46"
263,"2008-05-01","46"
264,"2008-05-22","46"
265,"2008-06-02","46"
266,"2008-06-22","46"
267,"2008-07-02","46"
268,"1998-09-08","46"
269,"1998-10-13","46"
270,"1999-01-01","46"
271,"1999-09-25","46"
272,"1999-11-29","46"
273,"1999-10-30","46"
274,"1998-06-10","46"
275,"1998-08-18","46"
276,"1998-07-09","46"
277,"1998-08-31","46"
278,"1998-11-24","66"
279,"1999-01-07","66"
280,"1999-03-11","66"
281,"1999-03-18","66"
282,"1999-06-14","66"
283,"1999-06-15","66"
284,"1999-06-22","66"
285,"1999-06-29","66"
286,"1999-06-29","66"
287,"1999-07-02","66"
288,"1999-07-16","66"
289,"1999-07-28","66"
290,"1999-08-09","66"
291,"1999-09-06","66"
292,"1999-09-09","66"
293,"1999-10-31","66"
294,"1999-11-18","66"
295,"1999-11-22","66"
296,"1999-12-02","66"
297,"1999-12-21","66"
298,"2000-01-06","66"
299,"2000-01-16","66"
300,"2000-01-21","66"
301,"2000-02-06","66"
302,"2000-02-17","66"
303,"2000-03-15","66"
304,"2000-04-01","66"
305,"2000-04-13","66"
306,"2000-05-26","66"
307,"2000-05-28","66"
308,"2000-07-06","66"
309,"2000-08-22","66"
310,"2000-08-25","66"
311,"2000-08-25","66"
312,"2000-09-03","66"
313,"2000-09-06","66"
314,"2000-09-08","66"
315,"2000-09-27","66"
