"herdID","cowID","date_IN","cause_IN","date_OUT","cause_OUT"
1,1,"2001-08-14","A","2007-05-29","B"
1,2,"2001-08-14","A","2006-08-07","B"
1,3,"1999-01-11","N","2004-12-06","B"
1,4,"1999-01-24","N","2004-07-19","B"
1,5,"1999-03-05","N","2004-04-20","B"
1,6,"1999-08-29","N","2005-02-10","B"
1,7,"1999-09-25","N","2007-12-19","B"
1,8,"1999-10-13","N","2005-03-16","E"
1,9,"1999-10-19","N","2006-08-07","B"
1,10,"1999-10-25","N","2004-07-19","B"
1,11,"1999-11-03","N","2008-11-18","B"
1,12,"1999-11-04","N","2006-12-11","B"
1,13,"1999-11-25","N","2004-07-19","B"
1,14,"1999-12-16","N","2005-03-16","B"
1,15,"1999-12-23","N","2005-04-25","E"
1,16,"1999-12-25","N","2007-11-06","B"
1,17,"1999-12-28","N","2007-10-01","B"
1,18,"1999-12-29","N","2003-02-13","B"
1,19,"2000-01-02","N","2006-12-11","B"
1,20,"2000-01-26","N","2004-07-19","B"
1,21,"2000-01-29","N","2004-04-20","B"
1,22,"2000-01-31","N","2004-12-06","B"
1,23,"2000-08-14","N","2006-12-11","B"
1,24,"2000-08-14","N","2006-01-11","B"
1,25,"2000-08-22","N","2005-02-10","B"
1,26,"2000-09-07","N","2007-10-01","B"
1,27,"2000-10-12","N","2004-03-02","B"
1,28,"2000-10-28","N","2005-04-25","B"
1,29,"2000-11-03","N","2008-05-14","B"
1,30,"2000-11-25","N","2007-02-27","B"
1,31,"2000-12-12","N","2005-11-14","B"
1,32,"2000-12-17","N","2006-09-28","B"
1,33,"2000-12-21","N","2004-12-22","B"
1,34,"2001-08-22","N","2005-07-07","B"
1,35,"2001-08-30","N","2006-01-11","B"
1,36,"2001-09-05","N","2007-09-27","B"
1,37,"2001-11-14","N","2007-11-06","B"
1,38,"2001-11-22","N","2008-10-17","E"
1,39,"2001-11-25","N","2009-01-15","E"
1,40,"2001-12-09","N","2005-07-07","B"
1,41,"2002-01-16","N","2005-03-16","E"
1,42,"2002-08-31","N","2007-12-19","B"
1,43,"2002-09-02","N","2007-05-29","B"
1,44,"2002-09-04","N","2007-09-27","B"
1,45,"2002-09-04","N","2006-05-02","B"
1,46,"2002-09-12","N","2006-09-28","B"
1,47,"2002-09-12","N","2006-01-11","B"
1,48,"2002-09-13","N","2008-02-20","B"
1,49,"2002-09-16","N","2009-01-01","E"
1,50,"2002-09-17","N","2005-10-05","E"
1,51,"2002-09-17","N","2008-02-20","B"
1,52,"2002-09-18","N","2008-08-21","E"
1,53,"2002-09-23","N","2008-10-08","E"
1,54,"2002-10-03","N","2008-08-21","E"
1,55,"2002-10-05","N","2008-11-19","E"
